file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	1	1	21	0.500	0.045	0.083
rosetta_v06_00120_Averages-Median_averages-median-1	5	1	7	0.833	0.417	0.556
rosetta_v06_00014_24-game_24-game	13	1	13	0.929	0.500	0.650
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	4	1	8	0.800	0.333	0.471
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	6	1	8	0.857	0.429	0.571
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	5	2	8	0.714	0.385	0.500
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	3	1	8	0.750	0.273	0.400
rosetta_v06_00043_Ackermann-function_ackermann-function-1	3	1	8	0.750	0.273	0.400
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	6	1	18	0.857	0.250	0.387
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	6	2	8	0.750	0.429	0.545
rosetta_v06_00924_Munching-squares_munching-squares	4	1	7	0.800	0.364	0.500
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	8	1	7	0.889	0.533	0.667
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	7	1	8	0.875	0.467	0.609
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	3	1	7	0.750	0.300	0.429
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	3	1	7	0.750	0.300	0.429
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	6	1	9	0.857	0.400	0.545
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	2	1	8	0.667	0.200	0.308
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	4	1	9	0.800	0.308	0.444
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	6	8	8	0.429	0.429	0.429
rosetta_v06_00866_Mayan-numerals_mayan-numerals	4	1	9	0.800	0.308	0.444
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	3	1	8	0.750	0.273	0.400
rosetta_v06_01498_Topological-sort_topological-sort-1	7	1	7	0.875	0.500	0.636
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	3	1	8	0.750	0.273	0.400
rosetta_v06_00262_Combinations_combinations-2	4	1	7	0.800	0.364	0.500
rosetta_v06_00257_Colorful-numbers_colorful-numbers	4	1	8	0.800	0.333	0.471
rosetta_v06_00141_Best-shuffle_best-shuffle-1	6	1	10	0.857	0.375	0.522
rosetta_v06_00995_Ordered-words_ordered-words-3	3	1	9	0.750	0.250	0.375
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	4	1	7	0.800	0.364	0.500
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	4	1	7	0.800	0.364	0.500
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	3	1	6	0.750	0.333	0.462
rosetta_v06_00629_Guess-the-number_guess-the-number	3	1	7	0.750	0.300	0.429
rosetta_v06_00039_Accumulator-factory_accumulator-factory	2	1	9	0.667	0.182	0.286
rosetta_v06_00001_100-doors_100-doors-1	3	1	7	0.750	0.300	0.429
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	7	3	9	0.700	0.438	0.538
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	3	1	7	0.750	0.300	0.429
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	5	1	7	0.833	0.417	0.556
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	3	1	8	0.750	0.273	0.400
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	3	1	7	0.750	0.300	0.429
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	12	2	16	0.857	0.429	0.571
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	3	1	7	0.750	0.300	0.429
rosetta_v06_00611_Gotchas_gotchas-8	1	1	6	0.500	0.143	0.222
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	6	1	9	0.857	0.400	0.545
rosetta_v06_00217_Call-an-object-method_call-an-object-method	2	2	9	0.500	0.182	0.267
rosetta_v06_01039_Pells-equation_pells-equation	5	1	8	0.833	0.385	0.526
rosetta_v06_00365_Descending-primes_descending-primes	3	1	8	0.750	0.273	0.400
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	3	1	7	0.750	0.300	0.429
rosetta_v06_00006_100-prisoners_100-prisoners	4	2	10	0.667	0.286	0.400
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	4	1	7	0.800	0.364	0.500
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	7	1	10	0.875	0.412	0.560
rosetta_v06_01312_Sockets_sockets	3	1	7	0.750	0.300	0.429
rosetta_v06_01396_String-comparison_string-comparison-2	5	1	7	0.833	0.417	0.556
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	3	1	7	0.750	0.300	0.429
rosetta_v06_01477_Text-processing-2_text-processing-2	3	1	9	0.750	0.250	0.375
rosetta_v06_00023_A+B_a+b-3	3	1	7	0.750	0.300	0.429
rosetta_v06_01133_Pseudo-random-numbers-Xorshift-star_pseudo-random-numbers-xorshift-star	3	1	10	0.750	0.231	0.353
rosetta_v06_00958_Non-continuous-subsequences_non-continuous-subsequences-3	5	1	7	0.833	0.417	0.556
rosetta_v06_01220_Rosetta-Code-Rank-languages-by-popularity_rosetta-code-rank-languages-by-popularity-1	6	1	8	0.857	0.429	0.571
rosetta_v06_00781_List-rooted-trees_list-rooted-trees	8	2	7	0.800	0.533	0.640
rosetta_v06_00788_Logistic-curve-fitting-in-epidemiology_logistic-curve-fitting-in-epidemiology	7	1	6	0.875	0.538	0.667
rosetta_v06_00130_Babbage-problem_babbage-problem	3	1	7	0.750	0.300	0.429
rosetta_v06_01393_Stream-merge_stream-merge	4	1	7	0.800	0.364	0.500
rosetta_v06_00327_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-5	3	1	7	0.750	0.300	0.429
rosetta_v06_01285_Sierpinski-triangle_sierpinski-triangle-2	3	1	5	0.750	0.375	0.500
rosetta_v06_00313_Count-in-factors_count-in-factors	3	4	8	0.429	0.273	0.333
rosetta_v06_00224_Casting-out-nines_casting-out-nines	3	1	7	0.750	0.300	0.429
rosetta_v06_01010_Pangram-checker_pangram-checker-2	3	1	8	0.750	0.273	0.400
rosetta_v06_01043_Percolation-Bond-percolation_percolation-bond-percolation	6	3	9	0.667	0.400	0.500
rosetta_v06_00283_Compile-time-calculation_compile-time-calculation-2	3	1	7	0.750	0.300	0.429
rosetta_v06_01519_URL-decoding_url-decoding	4	1	7	0.800	0.364	0.500
rosetta_v06_01197_Repeat_repeat	4	2	8	0.667	0.333	0.444
rosetta_v06_01103_Prime-decomposition_prime-decomposition-3	5	1	7	0.833	0.417	0.556
rosetta_v06_01600_Write-to-Windows-event-log_write-to-windows-event-log	3	1	7	0.750	0.300	0.429
rosetta_v06_00505_File-input-output_file-input-output-1	3	1	7	0.750	0.300	0.429
rosetta_v06_01617_Yin-and-yang_yin-and-yang	3	1	8	0.750	0.273	0.400
rosetta_v06_00542_FizzBuzz_fizzbuzz-4	3	1	7	0.750	0.300	0.429
rosetta_v06_00292_Concurrent-computing_concurrent-computing-1	6	1	7	0.857	0.462	0.600
rosetta_v06_00939_N-queens-problem_n-queens-problem-2	4	2	7	0.667	0.364	0.471
rosetta_v06_00810_Loops-Foreach_loops-foreach-2	3	1	7	0.750	0.300	0.429
rosetta_v06_01022_Parsing-RPN-calculator-algorithm_parsing-rpn-calculator-algorithm-1	5	3	9	0.625	0.357	0.455
rosetta_v06_01342_Sorting-algorithms-Pancake-sort_sorting-algorithms-pancake-sort-2	1	1	6	0.500	0.143	0.222
rosetta_v06_00435_Environment-variables_environment-variables	3	1	7	0.750	0.300	0.429
rosetta_v06_00644_Harmonic-series_harmonic-series	3	1	8	0.750	0.273	0.400
rosetta_v06_01470_Terminal-control-Unicode-output_terminal-control-unicode-output	2	1	6	0.667	0.250	0.364
rosetta_v06_01161_Random-number-generator-device-_random-number-generator-device--2	3	1	7	0.750	0.300	0.429
rosetta_v06_00432_Entropy-Narcissist_entropy-narcissist-1	4	1	8	0.800	0.333	0.471
rosetta_v06_00548_Flipping-bits-game_flipping-bits-game	4	2	13	0.667	0.235	0.348
rosetta_v06_00821_Loops-Nested_loops-nested-2	3	1	7	0.750	0.300	0.429
rosetta_v06_00646_Hash-from-two-arrays_hash-from-two-arrays	9	1	10	0.900	0.474	0.621
rosetta_v06_00114_Atomic-updates_atomic-updates-1	6	2	8	0.750	0.429	0.545
rosetta_v06_00664_Higher-order-functions_higher-order-functions-1	2	1	5	0.667	0.286	0.400
rosetta_v06_01402_String-length_string-length-3	2	1	8	0.667	0.200	0.308
rosetta_v06_01140_Pythagorean-triples_pythagorean-triples-1	3	1	7	0.750	0.300	0.429
rosetta_v06_01409_Strip-a-set-of-characters-from-a-string_strip-a-set-of-characters-from-a-string-2	4	1	7	0.800	0.364	0.500
rosetta_v06_01310_Smith-numbers_smith-numbers	3	1	12	0.750	0.200	0.316
rosetta_v06_00552_Floyds-triangle_floyds-triangle	3	1	8	0.750	0.273	0.400
rosetta_v06_00777_Levenshtein-distance_levenshtein-distance-2	4	3	9	0.571	0.308	0.400
rosetta_v06_00946_Naming-conventions_naming-conventions-3	1	1	5	0.500	0.167	0.250
rosetta_v06_01493_Tokenize-a-string-with-escaping_tokenize-a-string-with-escaping	4	1	8	0.800	0.333	0.471
rosetta_v06_01247_Search-in-paragraphs-text_search-in-paragraphs-text	5	1	7	0.833	0.417	0.556
rosetta_v06_00146_Binary-search_binary-search	2	1	8	0.667	0.200	0.308
rosetta_v06_01327_Sorting-algorithms-Bogosort_sorting-algorithms-bogosort	5	1	8	0.833	0.385	0.526
rosetta_v06_01437_Sum-to-100_sum-to-100-2	3	1	9	0.750	0.250	0.375
rosetta_v06_01372_Stack_stack-2	4	2	9	0.667	0.308	0.421
rosetta_v06_00758_Lah-numbers_lah-numbers	3	1	9	0.750	0.250	0.375
rosetta_v06_00333_Create-an-object-at-a-given-address_create-an-object-at-a-given-address-1	3	1	7	0.750	0.300	0.429
rosetta_v06_00747_Knapsack-problem-Unbounded_knapsack-problem-unbounded	2	2	7	0.500	0.222	0.308
rosetta_v06_01576_Water-collected-between-towers_water-collected-between-towers	4	1	8	0.800	0.333	0.471
