binary,start,end,name
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198448,4198454,puts
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198464,4198470,clock
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198480,4198486,printf
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198496,4198502,setlocale
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198512,4198808,FUN_00401070
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198816,4198850,entry
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198864,4198865,FUN_004011d0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198880,4198913,FUN_004011e0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198928,4198977,FUN_00401210
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198992,4199025,_FINI_0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4199040,4199046,_INIT_0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4199056,4200129,FUN_00401290
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4200144,4200764,FUN_004016d0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4200764,4200773,_DT_FINI
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214792,4214793,puts
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214800,4214801,clock
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214808,4214809,printf
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214824,4214825,setlocale
