binary,start,end,name
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198448,4198454,printf
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198464,4198498,entry
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198512,4198513,FUN_00401070
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198528,4198561,FUN_00401080
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198576,4198625,FUN_004010b0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198640,4198673,_FINI_0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198688,4198694,_INIT_0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198720,4198805,FUN_00401140
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198805,4199197,FUN_00401195
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199200,4199209,_DT_FINI
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214792,4214793,printf
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214800,4214801,__gmon_start__
