binary,start,end,name
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198448,4198454,mmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198464,4198470,printf
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198480,4198486,close
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198496,4198502,memcpy
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198512,4198518,err
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198528,4198534,munmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198544,4198550,open
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198560,4198566,fstat
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198592,4198640,FUN_004010c0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198640,4199050,FUN_004010f0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199056,4199090,entry
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199104,4199105,FUN_004012c0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199120,4199153,FUN_004012d0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199168,4199217,FUN_00401300
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199232,4199265,_FINI_0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199280,4199286,_INIT_0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199296,4199397,FUN_00401380
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199400,4199409,_DT_FINI
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214792,4214793,mmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214800,4214801,printf
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214808,4214809,close
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214824,4214825,memcpy
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214832,4214833,err
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214840,4214841,munmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214848,4214849,open
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214856,4214857,fstat
