binary,start,end,name
sort_stripped,4198400,4198423,_DT_INIT
sort_stripped,4198432,4198444,FUN_00401020
sort_stripped,4198448,4198454,putchar
sort_stripped,4198464,4198470,printf
sort_stripped,4198480,4198514,entry
sort_stripped,4198528,4198529,FUN_00401080
sort_stripped,4198544,4198577,FUN_00401090
sort_stripped,4198592,4198641,FUN_004010c0
sort_stripped,4198656,4198689,_FINI_0
sort_stripped,4198704,4198710,_INIT_0
sort_stripped,4198710,4198771,FUN_00401136
sort_stripped,4198771,4198918,FUN_00401173
sort_stripped,4198920,4198929,_DT_FINI
sort_stripped,4214784,4214785,putchar
sort_stripped,4214792,4214793,__libc_start_main
sort_stripped,4214800,4214801,printf
sort_stripped,4214808,4214809,__gmon_start__
